SHIPMENT_XID,LOCATION_GID,DEST_LOCATION_GID,STOP_NUM,SOURCE_LOCATION_GID,START_TIME,END_TIME,PLANNED_ARRIVAL,ESTIMATED_ARRIVAL,ACTUAL_ARRIVAL,PLANNED_DEPARTURE,ESTIMATED_DEPARTURE,ACTUAL_DEPARTURE,SERVPROV_GID
18112009,FD.9540,FD.FDS_12676,1,FD.9540,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,,18-Mar-22,18-Mar-22,18-Mar-22,FD.USAD
18112009,FD.FDS_10714,FD.FDS_12676,2,FD.9540,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,,FD.USAD
18112009,FD.FDS_12034,FD.FDS_12676,3,FD.9540,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,,FD.USAD
18112009,FD.FDS_12134,FD.FDS_12676,4,FD.9540,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,,FD.USAD
18112009,FD.FDS_12676,FD.FDS_12676,5,FD.9540,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,FD.USAD
18003696,FD.9510,FD.FDS_01831,1,FD.9510,23-Feb-22,23-Feb-22,24-Feb-22,24-Feb-22,,24-Feb-22,24-Feb-22,23-Feb-22,FD.USXD
18003696,FD.FDS_01404,FD.FDS_01831,2,FD.9510,23-Feb-22,23-Feb-22,24-Feb-22,22-Feb-22,23-Feb-22,24-Feb-22,24-Feb-22,,FD.USXD
18003696,FD.FDS_05988,FD.FDS_01831,3,FD.9510,23-Feb-22,23-Feb-22,24-Feb-22,23-Feb-22,23-Feb-22,24-Feb-22,23-Feb-22,,FD.USXD
18003696,FD.FDS_01831,FD.FDS_01831,4,FD.9510,23-Feb-22,23-Feb-22,24-Feb-22,23-Feb-22,23-Feb-22,25-Feb-22,23-Feb-22,23-Feb-22,FD.USXD
18117236,FD.9570,FD.FDS_03202,1,FD.9570,17-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,17-Mar-22,18-Mar-22,17-Mar-22,17-Mar-22,FD.WREN
18117236,FD.FDS_03512,FD.FDS_03202,2,FD.9570,17-Mar-22,18-Mar-22,18-Mar-22,17-Mar-22,17-Mar-22,18-Mar-22,17-Mar-22,,FD.WREN
18117236,FD.FDS_04203,FD.FDS_03202,3,FD.9570,17-Mar-22,18-Mar-22,18-Mar-22,17-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,,FD.WREN
18117236,FD.FDS_02011,FD.FDS_03202,4,FD.9570,17-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,,FD.WREN
18117236,FD.FDS_03202,FD.FDS_03202,5,FD.9570,17-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,18-Mar-22,FD.WREN
18003572,FD.9540,FD.FDS_06685,1,FD.9540,23-Feb-22,24-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,FD.LDDP
18003572,FD.FDS_02377,FD.FDS_06685,2,FD.9540,23-Feb-22,24-Feb-22,23-Feb-22,23-Feb-22,24-Feb-22,23-Feb-22,24-Feb-22,,FD.LDDP
18003572,FD.FDS_06685,FD.FDS_06685,3,FD.9540,23-Feb-22,24-Feb-22,23-Feb-22,24-Feb-22,24-Feb-22,23-Feb-22,24-Feb-22,24-Feb-22,FD.LDDP
18003575,FD.9540,FD.FDS_02292,1,FD.9540,23-Feb-22,24-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,FD.LDDP
18003575,FD.FDS_05464,FD.FDS_02292,2,FD.9540,23-Feb-22,24-Feb-22,23-Feb-22,23-Feb-22,24-Feb-22,23-Feb-22,24-Feb-22,,FD.LDDP
18003575,FD.FDS_02292,FD.FDS_02292,3,FD.9540,23-Feb-22,24-Feb-22,23-Feb-22,24-Feb-22,24-Feb-22,23-Feb-22,24-Feb-22,24-Feb-22,FD.LDDP
18003576,FD.9540,FD.FDS_07429,1,FD.9540,23-Feb-22,24-Feb-22,22-Feb-22,22-Feb-22,23-Feb-22,22-Feb-22,23-Feb-22,23-Feb-22,FD.RBT2
18003576,FD.FDS_01979,FD.FDS_07429,2,FD.9540,23-Feb-22,24-Feb-22,22-Feb-22,23-Feb-22,24-Feb-22,22-Feb-22,24-Feb-22,,FD.RBT2
18003576,FD.FDS_07429,FD.FDS_07429,3,FD.9540,23-Feb-22,24-Feb-22,22-Feb-22,24-Feb-22,24-Feb-22,23-Feb-22,24-Feb-22,24-Feb-22,FD.RBT2
18003579,FD.9540,FD.FDS_06625,1,FD.9540,23-Feb-22,24-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,FD.RBT2
18003579,FD.FDS_11599,FD.FDS_06625,2,FD.9540,23-Feb-22,24-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,23-Feb-22,24-Feb-22,,FD.RBT2
18003579,FD.FDS_06625,FD.FDS_06625,3,FD.9540,23-Feb-22,24-Feb-22,23-Feb-22,24-Feb-22,24-Feb-22,23-Feb-22,24-Feb-22,24-Feb-22,FD.RBT2
18235993,FD.9590,FD.FDS_10580,1,FD.9590,12-Apr-22,14-Apr-22,13-Apr-22,13-Apr-22,12-Apr-22,13-Apr-22,12-Apr-22,12-Apr-22,FD.WREN
18235993,FD.FDS_01761,FD.FDS_10580,2,FD.9590,12-Apr-22,14-Apr-22,13-Apr-22,13-Apr-22,13-Apr-22,13-Apr-22,13-Apr-22,,FD.WREN
18235993,FD.FDS_04014,FD.FDS_10580,3,FD.9590,12-Apr-22,14-Apr-22,13-Apr-22,13-Apr-22,13-Apr-22,13-Apr-22,13-Apr-22,,FD.WREN
18235993,FD.FDS_12008,FD.FDS_10580,4,FD.9590,12-Apr-22,14-Apr-22,13-Apr-22,13-Apr-22,13-Apr-22,13-Apr-22,13-Apr-22,,FD.WREN
18235993,FD.FDS_10580,FD.FDS_10580,5,FD.9590,12-Apr-22,14-Apr-22,13-Apr-22,14-Apr-22,14-Apr-22,13-Apr-22,14-Apr-22,14-Apr-22,FD.WREN
18235999,FD.9590,FD.FDS_05432,1,FD.9590,13-Apr-22,13-Apr-22,13-Apr-22,13-Apr-22,,13-Apr-22,13-Apr-22,,FD.KNIB
